RNA023479,RNA023491,RNA023504,RNA023506,RNA023520,RNA023514,RNA023523,RNA023526,RNA023534,RNA023539,RNA023540,RNA023545,RNA023550,RNA023551,RNA023553,RNA023555,RNA023556,RNA023559,RNA023561,RNA023562,RNA023567,RNA023568,RNA023572,RNA023573,RNA023575,RNA023581,RNA023585,RNA023587,RNA023593,RNA023594,RNA023596,RNA023603,RNA023605,RNA023614,RNA023616,RNA023617,RNA023618,RNA023619,RNA023521,RNA022818,RNA022822,RNA022824,RNA022832,RNA022836,RNA022838,RNA022852,RNA022853,RNA022855,RNA022854,RNA022860,RNA022867,RNA022871,RNA022880,RNA022883,RNA022885,RNA022887,RNA022904,RNA022906,RNA022911,RNA022915,RNA022921,RNA022923,RNA022925,RNA022946,RNA022948,RNA022956,RNA022972,RNA022975,RNA022981,RNA022987,RNA022992,RNA022993,RNA022995,RNA023001,RNA023024,RNA023027,RNA023049,RNA023058,RNA023066,RNA023068,RNA023071,RNA023078,RNA023080,RNA023087,RNA023092,RNA023099,RNA023117,RNA023129,RNA023131,RNA023134,RNA023138,RNA023143,RNA023146,RNA023152,RNA023153,RNA023167,RNA023170,RNA023174,RNA023176,RNA023179,RNA023185,RNA023190,RNA023198,RNA023199,RNA023200,RNA023203,RNA023208,RNA023209,RNA023222,RNA023225,RNA023227,RNA023226,RNA023229,RNA023239,RNA023242,RNA023267,RNA023269,RNA023275,RNA023282,RNA023284,RNA023285,RNA023286,RNA023141,RNA023098,RNA023169,RNA023403,RNA023404,RNA023405,RNA023407,RNA023409,RNA023410,RNA023331,RNA023299,RNA023411,RNA023337,RNA023339,RNA023341,RNA023345,RNA023351,RNA023414,RNA023355,RNA023357,RNA023416,RNA023418,RNA023361,RNA023363,RNA023423,RNA023367,RNA023425,RNA023371,RNA023432,RNA023435,RNA023436,RNA023438,RNA023442,RNA023448,RNA023450,RNA023451,RNA023454,RNA023457,RNA023458,RNA023465,RNA023466,RNA023467,RNA023468,RNA023470,RNA023399,RNA023473,RNA023474,RNA023632,RNA023637,RNA023638,RNA023642,RNA023643
CRKL,DCAF11,C19orf25,MTND4P12,MAP4,SLC35D2,SF3A1,ATXN7L1,TRIM58,LRBA,DCK,,CPNE5,CYB5D2,BTBD7P1,HEXIM1,CYBA,CRYM,,CYFIP1,FPR1,WFDC21P,HERC2P9,LURAP1L,MKNK2,VCL,CSNK1E,FYB1,GMDS,GLIPR1,GPX4,XPO1,CROCCP2,ZEB2,TPM3,TFF3,UBE2V1,WDR1,MTND2P28,,CTSG,CSGALNACT1,COMMD7,LGALSL,BOD1L1,KIAA0930,MAP4K4,FRMD3,GLA,MIA3,FYN,LTF,MS4A6A,GLA,TLN1,LAGE3,FCMR,SSX2IP,TENT5C,SMARCA2,WFDC1,LILRB3,TLE4,MOB1A,CPPED1,WIPF1,TSPAN9,YWHAH,LSP1,LINC01003,,CPEB4,MORF4L1P1,SYNGR2,TMEM63A,SPRR3,TCN1,LRRFIP1,FLCN,ASTN2,MICU1,C1QA,LIMS1,CNOT8,FOXN3,MORF4L1P1,FERMT3,CRKL,COCH,COL27A1,CXCL5,CPSF6,EPCAM,BST1,GMFG,CYTIP,CRYL1,FRG1CP,GIGYF2,LURAP1L,CMC2,CTSH,GIMAP7,CYLD,GSTA1,CRY1,MAP1LC3B2,KRT14,SYNE2,GSTM4,CMTM2,TKT,FLII,TREML1,COMMD3,TFF2,UIMC1,C4orf3,BROX,TBXA2R,MAGED2,C2orf69,CST7,FGL2,COQ6,MPRIP,TENT5C,CRTAC1,CRLF3,,C6orf120,GCA,CSNK1E,,YIF1B,TMEM258,MAP4,VKORC1L1,ZNF106,DCTN1,MGAM,TCN1,,CAMK4,,GRK6,MFSD2B,C9orf78,UHRF2,ARMC1,MAP2K3,TPP1,UNC93B1,MKRN1,DPP9,KLF13,CREBZF,MOB1A,WFDC21P,,EPCAM,,YOD1,CYB5D2,KLHL35,DCLK2,FOXC1,ORAI1,CCDC102A,,CTNNAL1,,ZNF185,SSR4
CRLF3,DCAF12,C19orf44,MTPN,MAP4K4,SLC39A3,SFTPA2,ATXN7L2,TRIP12,LRRFIP1,DCLK1,,CPPED1,CYB5R3,BTD,HIF1A,CYCS,CRYZL1,,CYFIP2,FPR2,WIPF1,HIP1R,LY9,MKRN1,VKORC1,CSNK1G3,FYN,GMFG,GLRX5,GRAP2,YIF1B,CRYBG1,ZFAND2B,TPST2,TGFB1I1,UFD1,WDR26,MTND4P12,,CTSS,CSK,COMT,LGI4,BOLA1,KIAA1217,MAP7,FRMD4B,GLB1,MICAL2,G0S2,LUC7L,MSN,GLIPR1,TMEM140,LAMP2,FCN1,STAG2,TFF3,SMARCC2,WIPF1,LIMS1,TLK1,MOB1B,CPQ,WNK1,TSPYL2,ZEB2,LUC7L,LINC01089,,CPLANE1,MPP1,SYNPO,TNFSF8,SPTAN1,TCP11L2,LSM12,FLI1,ASXL1,MID1IP1,C1QB,LINC00853,CNPPD1,FOXO3,MPP1,FEZ2,CRLF3,COL27A1,COL6A3,CXCR2,CR2,EPHA4,BTBD1,GMPR,CYTOR,CSF3R,FRMD3,GIMAP4,LY9,CMPK1,CTSW,GIT2,CYSTM1,GSTM3,CRYBG1,MAP2K3,KRT15,SYNPO,GSTO1,CMTM6,TLN1,FLOT2,TRIM58,COMMD7,TFF3,UTRN,C4orf33,BRWD1,TC2N,MAP1LC3B,C2orf74,CSTA,FGR,CORO1A,MS4A1,TFF3,CRYBA2,CRYBG1,,C6orf226,GCC2,CSNK1G3,,YOD1,TMEM40,MAP4K4,WDR1,ZNF331,DCUN1D1,MIA3,TENT5C,,CAMLG,,GRN,MGST3,CA1,UTRN,ARMC10,MAP3K1,TPST2,UROS,MNDA,DPY19L1,KLF3,CREM,MOB2,WIPF1,,EPPK1,,YWHAH,CYB5R1,KLK3,DCP2,FOXN3,ORAI2,CCDC137,,CTNND1,,ZNF271P,STAG3
CRY1,DCAF6,C19orf48,MTURN,MAP7,SLC44A1,SH2D6,AURKA,TSC22D3,LRRIQ1,DCLK2,,CPT1A,CYBA,BTK,HIGD1A,CYFIP2,CSF3R,,CYLD,FRMD3,WNK1,HIPK1,LYL1,MLH3,VPS13A,CSNK2A2,G0S2,GMPR,GLT1D1,GRB2,YPEL5,CRYM,ZFAS1,TRAK2,THOC2,UPF3A,WFDC1,MTPN,,CTSW,CSNK1G3,COQ6,LIMS1,BORCS5,KIF1C,MAPRE1,FTH1P10,GLIPR1,MICOS10,G3BP2,LY9,MT2A,GLRX5,TMEM219,LAMTOR1,FCRLA,STAG3,TLK1,SMARCE1,WNK1,LINC00511,TLN1,MOB2,CPSF6,XIST,TTR,,LXN,LINC01781,,CPNE5,MPZ,SYTL3,TNIP1,SPTB,TENT5C,LSP1,FLII,ASXL2,MIGA2,C1QC,LINC00989,CNST,FPR1,MPRIP,FGD4,CRTC3,COL28A1,COMMD2,CXCR2P1,CRBN,EPS8L3,BTBD10,GNAI2,DAB2,CSK,FRMD4B,GIMAP6,LYL1,CMTM2,CTTN,GJA4,CYTH2,GSTO1,CRYL1,MAP3K7CL,KRT5,TAF10,GTF2B,CMYA5,TM9SF2,FLVCR1,TRIP12,COMT,TINAGL1,VCL,C5AR1,BRWD3,TCEAL9,MAP2K3,C2orf88,CTBS,FHDC1,CORO1C,MS4A6A,THBD,CRYBG1,CRYM,,C6orf62,GCOM1,CST3,,YPEL5,TNIP1,MAPK10,WFDC1,,DCXR,MICAL2,TFF1,,CAMSAP1,,GSTM3,MIA3,CA13,VASP,ARMC2,MAP3K7CL,TRAK2,UTRN,MOB1A,DPYSL2,KLF9,CRIM1,MOB3A,WNK1,,EPS8,,ZEB1,CYB5R3,KLRD1,DCTN1,FOXO3,OSER1,CCDC14,,CTNS,,ZNF280D,STK10
CRYBG1,DCK,C19orf73,MX1,MAPK1,SLC4A1,SH3BGRL,AUTS2,TSPYL2,LSM14A,DCLRE1A,,CR1,CYBC1,BTLA,HIP1R,CYLD,CSGALNACT1,,CYTH1,FSTL1,XPNPEP1,HIPK2,LYN,MMP9,WDR1,CSRNP3,G3BP2,GNAI2,GMFG,GRK2,YWHAH,CSAD,ZNF185,TREML1,TK1,UTRN,WIPF1,MTURN,,CTTN,CSNK2A2,COQ7,LINC00511,BORCS6,KIF21B,MAPRE2,FTH1P20,GLRX5,MICU1,G6PD,LY96,MTATP6P1,GMCL1,TMEM40,LANCL3,FDXR,STAT1,TLN1,SMCHD1,XIST,LINC00853,TMEM120B,MORC1,CPT1A,YBX1P1,TUBA4A,,LY9,LINC01871,,CPOX,MRPS31,TAF10,TNS1,SPTBN1,TFDP1,LTF,FLOT2,ASXL3,MINK1,C1R,LINC01003,CNTLN,FPR2,MS4A1,FGF2,CRYBG1,COL4A3,COMMD6,CXCR4,CREBBP,ERAP2,BTBD2,GNAI3,DAGLB,CSNK1G3,FSTL1,GIMAP7,LYN,CMTM6,CUL4B,GK,CYTOR,GTF3C6,CSAD,MAP4,KRT6A,TALDO1,GTF2E2,CNDP2,TMEM14B,FMNL1,TSPAN32,COQ4,TK1,VKORC1,C5orf22,BSCL2,TENT5C,MAP3K1,C3,CTNNA1,FHL2,CORO2A,MSN,TKT,CRYBG3,CSAD,,C7orf50,GGA1,CST7,,YWHAH,TNS1,MAPRE1,WIPF1,,DDB1,MIER1,THBD,,CAMTA2,,GSTO1,MICOS10,CA2,VCL,ARMC5,MAP4,TREML1,VAMP2,MOB2,DPYSL3,KLHDC8B,CRISP3,MORC3,XIST,,EPSTI1,,ZEB2,CYBA,KLRF1,DCUN1D1,FPR1,P4HB,CCDC141,,CTSA,,,STK17B
CRYM,DCLRE1A,C1GALT1,MXI1,MAPK8IP3,SLC4A4,SH3BGRL2,AVEN,TTC14,LSP1,DCP2,,CRAT,CYFIP2,BTN2A2,HIPK1,CYSTM1,CSK,,CYTH2,FTH1P10,YBX1P1,HIPK3,LYZ,MOB1A,WFDC1,CST3,GAB2,GNAQ,GMIP,GRK3,YY1AP1,CSF3R,ZNF280D,TRIM58,TKT,VCL,WNK1,MXI1,,CUTALP,CST7,CORO1A,LINC00853,BORCS8,KIF2A,MAT2B,FTH1P8,GLS,MID1IP1,GABARAPL1,LYL1,MTCO1P12,GMFG,TMEM63A,LASP1,FECH,STK10,TMEM131L,SMIM1,YBX1P1,LINC00989,TMEM140,MORC3,CREBBP,YBX1P10,TUBB1,,LYL1,LIPA,,CPQ,MS4A1,TBX3,TOMM5,SRGN,THBD,LURAP1L,FLVCR1,ATAD1,MISP3,C1S,LINC01089,CNTRL,FRG1CP,MSN,FGFBP2,CRYM,COMMD3,COMMD7,CYB561D2,CREBL2,ERBB3,BTBD8,GNAQ,DAP,CST3,FTH1P10,GIT2,LYPLA1,CMYA5,CXCL5,GLA,DAB2,GTPBP2,CSF3R,MAP4K4,KRT7,TBC1D20,GTF3C6,CNIH4,TMEM243,FN1,TUBA1C,COQ6,TKT,VPS13A,C5orf24,BSG,TESC,MAP3K5,C3orf38,CTNNAL1,FHL3,COTL1,MT2A,TLK1,CRYM,CSF2RB,,C8orf82,GGA2,CSTA,,ZFAS1,TOMM5,MAPRE2,WNK1,,DDX21,MIR205HG,TINAGL1,,CAND1,,GSTP1,MIGA2,CAB39,VKORC1,ARMC7,MAP4K4,TRIM58,VMP1,MOB3A,DRAIC,KLHL35,CRK,MORF4L1P1,YBX1P1,,ERAP1,,,CYBC1,KMT2A,DCUN1D3,FRG1HP,PAIP2,CCDC167,,CTSD,,,STK4
CRYZL1,DCP2,C1QA,MYCBP,MAPKAPK2,SLFN5,SH3BGRL3,AVL9,TUBA4A,LTA4H,DCTN1,,CREBBP,CYLD,BTN3A2,HIPK2,CYTH1,CSNK1D,,CYTH4,FTH1P20,YBX1P10,HK1,MACC1,MOB2,WIPF1,CST7,GABARAPL2,GNAZ,GMPR,GRK4,ZEB2,CSK,ZNF542P,TRIP12,TLE4,VEGFA,XPNPEP1,MYCBP2,,CXCL5,CSTA,CORO1C,LINC00989,BPGM,KLF3,MAX,FTL,GMFG,MIGA2,GABARAPL2,LYN,MTDHP3,GMPR,TNFRSF1B,LAT,FERMT3,STK17B,TMEM140,SMIM5,YBX1P10,LINC01003,TMEM219,MORF4L1P1,CREBL2,YIF1B,UACA,,LYN,LPAR6,,CPSF6,MS4A6A,TBXA2R,TOMM7,SSR4,TKT,LXN,FMNL1,ATAD2B,MITF,C1orf109,LINC01138,COBL,FRMD3,MT1G,FGFR2,CRYZL1,COMMD7,COMT,CYB5A,CREBZF,ERBIN,BTBD9,GNB5,DAPK2,CST7,FTH1P20,GJA4,LYZ,CNDP2,CXCL6,GLIPR1,DAGLB,GUCY1A1,CSK,MAPRE2,L2HGDH,TBX3,GYPC,CNKSR3,TMEM40,FNBP1,TUBA4A,COQ7,TLE4,WDR1,C6orf120,BSND,TFF3,MAP3K7CL,C3orf52,CTNNBIP1,FKBP15,COX14,MTATP6P1,TLN1,CSAD,CSF3R,,C9orf72,GGCT,CTBS,,,TPM2,MAX,YBX1P1,,DDX41,MIR29B2CHG,TKT,,CAP1,,GTF2F1,MINK1,CABIN1,VPREB3,ARMC9,MAP7,TRIP12,VPREB3,MORF4L1P1,DSE,KLK1,CRKL,MPRIP,YBX1P10,,ERBIN,,,CYCS,KMT2C,DDOST,FTH1P10,PCBP1,CCDC174,,CTSS,,,STXBP2
CS,DCTN1,C1QB,MYCBP2,MAPRE2,SMARCA2,SH3PXD2A,AVPR1A,TUBB1,LTB4R,DCUN1D1,,CREBL2,CYP27A1,BTN3A3,HIPK3,CYTH2,CST3,,CYTIP,FTH1P8,YIF1B,HLTF,MAFB,MOB3A,WNK1,CSTA,GABRE,GNG2,GNAI2,GRN,ZFAND2B,CSKMT,,TSC22D1,TLK1,WASF1,YBX1P1,MYH9,,CXCR2P1,CTBS,COTL1,LINC01003,BPHL,KLF9,MBNL3,FTLP3,GMIP,MIR29B2CHG,GABRA4,LYST,MTHFD2L,GNA15,TNIP1,LBH,FEZ2,STK4,TMEM219,SMOX,YIF1B,LINC01089,TMEM243,MPP1,CREBZF,YOD1,UBE2F,,LYPLA1,LPGAT1,,CPT1A,MSMB,TC2N,TPH1,SSX2IP,TLN1,LY9,FMNL3,ATAD5,MKRN1,C1orf112,LINC01781,COCH,FRMD4B,MT2A,FGR,CS,COMT,COQ4,CYB5D2,CRIM1,ERG,BTK,GNG2,DAPK3,CTBP2,FTH1P8,GK,MACC1,CNIH4,CXCR2P1,GLIS3,DAP,GUSB,CSNK1G3,MAX,LAMA3,TBXA2R,GZMA,CNN2,TNFAIP2,FNBP1L,TUBB1,CORO1A,TLK1,WDR44,C6orf132,BST1,TK1,MAP4,C4orf3,CTNNBL1,FKBP1B,COX18,MTCO1P12,TMEM131L,CSE1L,CSGALNACT1,,C9orf78,GHRL,CTNNA1,,,TPM3,MBNL3,YBX1P10,,DDX60,MISP3,TLK1,,CAPG,,GTF3C6,MISP3,CACNA1A,WDR1,ARMCX3,MAPK1,TSC22D1,VSIR,MORN5,DSP,KLK3,CRLF3,MRS2,YOD1,,ERG,,,CYFIP1,KMT2D,DDX19A,FTH1P20,PCGF5,CCDC175,,CTSW,,,SUPT4H1
CSAD,DCUN1D1,C1RL,MYH9,MAST3,SMARCA5,SHOC2,AXIN1,TYMS,LTF,DCUN1D3,,CREBZF,CYP3A5,BUD13,HK1,CYTH4,CST7,,CYTOR,FTL,YPEL5,HMG20B,MALSU1,MPRIP,XPNPEP1,CTNNA1,GALK1,GNG5,GNAZ,GRPEL1,ZNF185,CSNK1E,,TSPYL2,TLN1,WBP2,YBX1P10,MYL4,,CXCR4,CTNNA1,COX14,LINC01781,BPNT1,KLHDC8B,MBP,FXYD5,GMPR,MISP3,GALNT2,LYZ,MTND1P23,GNAI2,TNS1,LCOR,FGF2,SWAP70,TMEM243,SNAP23,YOD1,LINC01138,TMEM258,MPP7,CRIM1,YPEL5,UBE2V1,,LYZ,LPIN2,,CR1,MSN,TCN1,TPM2,STIM1,TMEM140,LYL1,FN1,ATE1,MLH3,C1orf115,LINC01871,COL21A1,FTH1P10,MTATP6P1,FHDC1,CSF3R,COQ4,COQ7,CYB5R1,CRK,ERICH1,BTN3A2,GNG5,DAPP1,CTBS,FTLP3,GLA,MAGED2,CNKSR3,CXCR4,GMDS,DAPK1,GYPC,CST3,MBNL3,LAMTOR1,TBXAS1,HBB,CNNM3,TNFRSF1B,FNDC3B,UBE2F,CORO1C,TLN1,WFDC1,C6orf62,BTBD1,TLE4,MAP4K4,C4orf33,CTNS,FKBP5,COX19,MTMR3,TMEM219,CSF3R,CSK,,CA1,GIGYF2,CTNNAL1,,,TPSB2,MCEMP1,YIF1B,,DEDD,MITF,TLN1,,CAPN1,,GUCD1,MITF,CACYBP,WDR45,ARMCX4,MAPRE1,TSC22D3,WASL,MPP1,DST,KLRD1,CRTAC1,MS4A1,YWHAH,,ERICH1,,,CYFIP2,KREMEN1,DDX21,FTH1P8,PCMTD1,CCDC18,,CTTN,,,SYK
CSF3R,DCUN1D3,C1orf109,MYL4,MAX,SMARCE1,SLAIN2,AXIN2,UACA,LUCAT1,DCXR,,CREG1,CYTH1,BZW1P2,HMG20B,CYTOR,CTBS,,DAAM1,FTLP3,YWHAH,HMGB1P5,MAN2A2,MPZL1,YBX1P1,CTNNAL1,GALNT1,GNG8,GNG5,GSE1,,CSNK1G3,,TTR,TMEM120B,WDR1,YIF1B,MYLK,,CXCR5,CTNNAL1,COX16,LRBA,BRAF,KLHL35,MCUR1,FYB1,GNAI2,MITF,GALNT6,MACC1,MTND2P28,GNAQ,TOB1,LCP1,FGFBP2,SYK,TMEM40,SNCA,YWHAH,LINC01781,TMEM40,MS4A1,CRISP3,YWHAH,UCP2,,M6PR,LRBA,,CREBBP,MT1X,TCP11L2,TPM3,STK10,TMEM190,LYN,FNBP1,ATF1,MOB1A,C1orf131,LPAR6,COL27A1,FTH1P20,MTCO1P12,FHL2,CSGALNACT1,COQ6,CORO1A,CYBA,CRKL,ERO1A,BTN3A3,GNG8,DAZAP2,CTNNAL1,FUCA2,GLIPR1,MAP2K3,CNN2,CXorf38,GMFG,DAPK3,GZMA,CST7,MCTP1,LANCL3,TC2N,HBM,CNOT6L,TNFSF10,FOLR3,UBE2H,COTL1,TM4SF4,WIPF1,C7orf50,BTBD10,TLK1,MAPK1,C4orf48,CTPS1,FKBP8,COX4I2,MTND1P23,TMEM243,CSGALNACT1,CSNK1E,,CA13,GIMAP1,CTNND1,,,TPST2,MED10,YPEL5,,DEF6,MKNK2,TMEM120B,,CAPN15,,GUSB,MKNK2,CADM2,WFDC1,ARMCX5,MAPRE2,TTC14,WDR1,MPZ,DTX3L,KMT2C,CRY1,MS4A6A,ZEB1,,ERICH3,,,CYLD,KRT15,DDX56,FTL,PCP2,CCDC28B,,CUL4B,,,SYNE2
CSK,DCXR,C1orf115,MYO18A,MBNL3,SMIM1,SLC25A37,AZI2,UBE2F,LY9,DDB1,,CRIM1,CYTH4,C11orf54,HMGB1P5,DAP,CTNNA1,,DAP,FURIN,ZEB1,HMGN2,MAP2K3,MRPS31,YIF1B,CTNND1,GATA1,GNLY,GNG8,GSTA1,,CSNK2A2,,TUBA4A,TMEM131L,WFDC1,YOD1,MYO1F,,CYB561D2,CTNS,COX19,LRRFIP1,BRAP,KLK10,MED13,FYN,GNAQ,MKNK2,GATA1,MACROD2,MTND4P12,GNAZ,TOMM5,LCP2,FGR,SYNE2,TMEM63A,SNHG11,ZFAS1,LPAR6,TMEM63A,MSI2,CRK,ZEB1,UHMK1,,MACC1,LRRFIP1,,CREBL2,MT2A,TENT5C,TPST2,STK17B,TMEM219,LYPLA1,FNBP1L,ATF2,MOB1B,C1orf198,LPCAT1,COL28A1,FTH1P8,MTDHP3,FHL3,CSK,COQ7,CORO1C,CYBC1,CRLF3,ESAM,C10orf67,GNLY,DBNL,CTNS,FYB1,GLRX5,MAP3K1,CNOT3,CYB5D2,GMPR,DAPP1,HACD4,CSTA,MCUR1,LAPTM4B,TCEAL9,HCFC1,CNOT7,TNFSF8,FOXC1,UBE2O,COX14,TMEM120B,WNK1,C8orf82,BTBD2,TLN1,MAPRE1,C5AR1,CTSA,FLI1,COX5B,MTND2P28,TMEM258,CSK,CSNK2A2,,CA2,GIMAP4,CTNS,,,TRAK2,MED13L,YWHAH,,DEK,MKRN1,TMEM140,,CAPN2,,GXYLT1,MKRN1,CALCOCO2,WFDC21P,ARMCX6,MAX,TUBA4A,WDR26,MRC1,DUSP23,KMT2D,CRYBG1,MSN,ZEB2,,ESCO2,,,CYP3A5,KRT18,DDX59,FTLP3,PCSK7,CCDC50,,CWC27,,,SYNPO
CSNK1E,DDB1,C1orf131,MYO1B,MBP,SMIM5,SLC35D2,AZIN1,UBE2H,LYL1,DDX1,,CRISP3,CYTIP,C11orf68,HMGB2,DAPK1,CTNNAL1,,DAPK2,FUZ,ZEB2,HNRNPA1,MAP3K1,MS4A1,YPEL5,CTNS,GATAD2B,GOLGA8A,GNLY,GSTM3,,CST3,,TUBB1,TMEM219,WHAMMP2,YPEL5,MYO9B,,CYB5A,CTPS1,COX6B1,LRRIQ1,BRCC3,KLRC1,MED13L,G3BP2,GNAZ,MKRN1,GC,MALSU1,MTPN,GNG2,TPH1,LEPROTL1,FHL2,SYNGR2,TMSB15A,SNHG20,ZNF280D,LRBA,TNNC2,MSN,CRKL,ZEB2,UTRN,,MAGED2,LSM12,,CREBZF,MTATP6P1,TFDP1,TRAK2,STK4,TMEM258,LYZ,FOLR3,ATF5,MOB2,C1orf52,LPCAT4,COL6A3,FTL,MTHFD2L,FKBP15,CSN3,CORO1A,COTL1,CYFIP2,CRNKL1,ESYT2,C10orf90,GOLGA8A,DCAF12,CTSA,FYN,GLS,MAP3K2,CNOT6,CYB5R1,GNAI2,DAZAP2,HAGHL,CTBS,MED12L,LASP1,TCTA,HCK,CNOT8,TNIP1,FOXN3,UBE2S,COX16,TMEM131L,XPNPEP1,C9orf40,BTBD8,TMEM140,MAPRE2,C5orf15,CTSC,FLII,COX6B1,MTND4P12,TMEM40,CSKMT,CST7,,CA5BP1,GIMAP6,CTPS1,,,TREML1,MEPCE,ZEB1,,DENND4A,MMD,TMEM158,,CAPN5,,GYG2P1,MLEC,CALCRL,WIPF1,ARMH1,MBNL3,TUBB1,WIPF1,MS4A1,DUSP4,KMT2E,CRYZL1,MT2A,ZFAS1,,ETFA,,,CYTH1,KRT7,DECR1,FUT2,PDCD4,CCDC59,,CXCL5,,,SYPL1
CST3,DDHD1,C1orf159,MYO1F,MCEMP1,SMOX,SLC39A3,AZIN2,UCP2,LYN,DDX21,,CRK,CYTOR,C12orf57,HMGN2,DAPP1,CTNNBIP1,,DAPP1,FYB1,ZFAS1,HNRNPH3,MAP3K3,MSN,YWHAH,CTRC,GBP1,GP1BA,GOLT1B,GSTO1,,CST7,,UBA7,TMEM40,WIPF1,YWHAH,MYZAP,,CYB5D2,CTSA,COX7B,LSM14A,BRD3,KLRD1,MEF2C,G6PD,GNG2,MLH3,GCOM1,MAP2K3,MTURN,GNG5,TPM3,LGALS12,FHL3,SYNPO,TNFRSF13B,SNHG9,ZNF331,LRRFIP1,TNS1,MT2A,CRLF3,ZFAS1,VCL,,MALSU1,LSM14A,,CRIM1,MTCO1P12,TFF3,TREML1,STMP1,TMEM40,LZTS2,FOXC1,ATF6,MOB3A,C1orf56,LPIN2,COLGALT1,FTLP3,MTND2P28,FKBP1B,CSNK1G3,CORO1C,COX14,CYLD,CRY1,ETFB,C11orf21,GP9,DCAF6,CTSC,G0S2,GMFG,MAP3K7CL,CNOT6L,CYBA,GNAZ,DBNL,HAUS1,CTDNEP1,MED13,LAT2,TENT5C,HCLS1,CNPPD1,TNS1,FOXO3,UCP2,COX5B,TMEM140,XPO1,C9orf64,BTK,TMEM219,MAX,C5orf24,CTSD,FLOT2,COX7B,MTPN,TMSB15A,CSNK2A2,CTBS,,CAB39,GIMAP7,CTSD,,,TRIM58,MFAP3L,ZEB2,,DENND5A,MMP10,TMEM219,,CAPN7,,GYPC,MMD,CALD1,WNK1,ARMH3,MBP,UACA,WNK1,MS4A4A,DUSP6,KREMEN1,CSF3R,MTA2,,,ETFDH,,,CYTH2,L1CAM,DEF6,FXYD2,PDE4D,CCDC68,,CXCR2P1,,,TAPBP
CST7,DDI2,C1orf21,MYO1G,MED13L,SMTN,SLC40A1,B3GALNT2,UPF3A,LYPLA1,DDX56,,CRKL,DAP,C12orf75,HNRNPA1,DAZAP2,CTNND1,,DAZAP2,FYN,ZNF280D,HNRNPUL1,MAP3K7CL,MT2A,ZEB2,CTSA,GBP2,GP9,GON4L,GSTP1,,CTBS,,UBAP2,TMEM63A,WNK1,ZEB2,NAA38,,CYB5R1,CTSD,CPD,LSP1,BRD8,KLRF1,METTL22,GABARAPL1,GNG5,MMD,GDI1,MAP3K1,MXI1,GNG8,TPST2,LGALS3,FKBP1B,TAF1D,TNFRSF1B,SNORD3A,ZNF688,LSM12,TOMM5,MTATP6P1,CRY1,ZNF106,VKORC1,,MAP1LC3B,LSP1,,CRISP3,MTG1,TGFB1I1,TRIM58,STRAP,TNIP1,M6PR,FOXN3,ATF7IP,MORC3,C1orf87,LRBA,COMMD3,FXYD5,MTND4P12,FKBP8,CST3,COTL1,COX16,CYSTM1,CRYBG1,ETS1,C11orf54,GPR155,DCLK1,CTSD,G3BP2,GMPR,MAP4,CNOT8,CYFIP2,GNB5,DCAF11,HBB,CTNNA1,MED13L,LBH,TERF2IP,HDAC3,CNR2,TOGARAM1,FPR1,UNC93B1,COX6B1,TMEM219,YIF1B,C9orf78,BTLA,TMEM243,MBNL3,C5orf63,CTSS,FMNL1,CPD,MTURN,TNIP1,CST3,CTDNEP1,,CABIN1,GIMAP8,CTSH,,,TRIP12,MGST3,ZFAND2B,,DENND6B,MMP9,TMEM243,,CAPZA1,,GZMA,MMP9,CALHM6,XIST,ARMT1,MCEMP1,UBE2B,YBX1P1,MS4A6A,DUT,KRT18,CSGALNACT1,MTATP6P1,,,ETS1,,,CYTH4,LAGE3,DEF8,FXYD5,PDE5A,CCDC69,,CXCR4,,,TAX1BP3
