"prlnkid_ser","prlnkid_pla"
"SER00078L","PLA00078L"
"SER00079A","PLA00079A"
"SER00079G","PLA00079G"
"SER00079L","PLA00079L"
"SER00080A","PLA00080A"
"SER00080G","PLA00080G"
"SER00080L","PLA00080L"
"SER00081A","PLA00081A"
"SER00081G","PLA00081G"
"SER00081L","PLA00081L"
"SER00082A","PLA00082A"
"SER00082L","PLA00082L"
"SER00083A","PLA00083A"
"SER00083G","PLA00083G"
"SER00083L","PLA00083L"
"SER00084A","PLA00084A"
"SER00084G","PLA00084G"
"SER00084L","PLA00084L"
"SER00085A","PLA00085A"
"SER00085G","PLA00085G"
"SER00085L","PLA00085L"
"SER00086A","PLA00086A"
"SER00086G","PLA00086G"
"SER00086L","PLA00086L"
"SER00087A","PLA00087A"
"SER00087G","PLA00087G"
"SER00087L","PLA00087L"
"SER00088G","PLA00088G"
"SER00088L","PLA00088L"
"SER00089A","PLA00089A"
"SER00089G","PLA00089G"
"SER00089L","PLA00089L"
"SER00090A","PLA00090A"
"SER00090L","PLA00090L"
"SER00091G","PLA00091G"
"SER00092A","PLA00092A"
"SER00092G","PLA00092G"
"SER00093A","PLA00093A"
"SER00093G","PLA00093G"
"SER00093L","PLA00093L"
"SER00094A","PLA00094A"
"SER00094G","PLA00094G"
"SER00094L","PLA00094L"
"SER00095G","PLA00095G"
"SER00095L","PLA00095L"
"SER00096A","PLA00096A"
"SER00096G","PLA00096G"
"SER00096L","PLA00096L"
"SER00097A","PLA00097A"
"SER00097G","PLA00097G"
"SER00097L","PLA00097L"
"SER00098A","PLA00098A"
"SER00098G","PLA00098G"
"SER00098L","PLA00098L"
"SER00099A","PLA00099A"
"SER00099G","PLA00099G"
"SER00099L","PLA00099L"
"SER00100G","PLA00100G"
"SER00100L","PLA00100L"
"SER00101G","PLA00101G"
"SER00101L","PLA00101L"
"SER00102G","PLA00102G"
"SER00102L","PLA00102L"
"SER00103G","PLA00103G"
"SER00103L","PLA00103L"
"SER00104G","PLA00104G"
"SER00104L","PLA00104L"
"SER00105A","PLA00105A"
"SER00105G","PLA00105G"
"SER00105L","PLA00105L"
"SER00106A","PLA00106A"
"SER00106G","PLA00106G"
"SER00106L","PLA00106L"
"SER00107A","PLA00107A"
"SER00107G","PLA00107G"
"SER00107L","PLA00107L"
"SER00108L","PLA00108L"
"SER00109A","PLA00109A"
"SER00109G","PLA00109G"
"SER00109L","PLA00109L"
"SER00110A","PLA00110A"
"SER00110G","PLA00110G"
"SER00110L","PLA00110L"
"SER00111A","PLA00111A"
"SER00111G","PLA00111G"
"SER00111L","PLA00111L"
"SER00112A","PLA00112A"
"SER00112G","PLA00112G"
"SER00112L","PLA00112L"
"SER00113A","PLA00113A"
"SER00113G","PLA00113G"
"SER00113L","PLA00113L"
"SER00114A","PLA00114A"
"SER00114G","PLA00114G"
"SER00114L","PLA00114L"
"SER00115A","PLA00115A"
"SER00115G","PLA00115G"
"SER00115L","PLA00115L"
"SER00116A","PLA00116A"
"SER00116G","PLA00116G"
"SER00116L","PLA00116L"
"SER00117A","PLA00117A"
"SER00117G","PLA00117G"
"SER00117L","PLA00117L"
"SER00118A","PLA00118A"
"SER00118G","PLA00118G"
"SER00118L","PLA00118L"
"SER00119A","PLA00119A"
"SER00119G","PLA00119G"
"SER00119L","PLA00119L"
"SER00120G","PLA00120G"
"SER00121A","PLA00121A"
"SER00121G","PLA00121G"
"SER00121L","PLA00121L"
"SER00122A","PLA00122A"
"SER00122G","PLA00122G"
"SER00122L","PLA00122L"
"SER00123A","PLA00123A"
"SER00123G","PLA00123G"
"SER00123L","PLA00123L"
"SER00124A","PLA00124A"
"SER00124G","PLA00124G"
"SER00124L","PLA00124L"
"SER00125A","PLA00125A"
"SER00125G","PLA00125G"
"SER00125L","PLA00125L"
"SER00126A","PLA00126A"
"SER00126G","PLA00126G"
"SER00126L","PLA00126L"
"SER00127A","PLA00127A"
"SER00127G","PLA00127G"
"SER00127L","PLA00127L"
"SER00128A","PLA00128A"
"SER00128L","PLA00128L"
"SER00129A","PLA00129A"
"SER00129G","PLA00129G"
"SER00129L","PLA00129L"
"SER00130A","PLA00130A"
"SER00130G","PLA00130G"
"SER00130L","PLA00130L"
"SER00131A","PLA00131A"
"SER00131G","PLA00131G"
"SER00131L","PLA00131L"
"SER00132A","PLA00132A"
"SER00132L","PLA00132L"
"SER00133A","PLA00133A"
"SER00133G","PLA00133G"
"SER00133L","PLA00133L"
"SER00134A","PLA00134A"
"SER00134G","PLA00134G"
"SER00134L","PLA00134L"
"SER00135A","PLA00135A"
"SER00135G","PLA00135G"
"SER00135L","PLA00135L"
"SER00136A","PLA00136A"
"SER00136G","PLA00136G"
"SER00136L","PLA00136L"
"SER00137A","PLA00137A"
"SER00137G","PLA00137G"
"SER00137L","PLA00137L"
"SER00138A","PLA00138A"
"SER00138G","PLA00138G"
"SER00138L","PLA00138L"
"SER00139A","PLA00139A"
"SER00139G","PLA00139G"
"SER00139L","PLA00139L"
"SER00140G","PLA00140G"
"SER00140L","PLA00140L"
"SER00141A","PLA00141A"
"SER00141G","PLA00141G"
"SER00141L","PLA00141L"
"SER00142A","PLA00142A"
"SER00142G","PLA00142G"
"SER00142L","PLA00142L"
"SER00143A","PLA00143A"
"SER00143G","PLA00143G"
"SER00143L","PLA00143L"
"SER00144A","PLA00144A"
"SER00144G","PLA00144G"
"SER00144L","PLA00144L"
"SER00145A","PLA00145A"
"SER00145G","PLA00145G"
"SER00145L","PLA00145L"
"SER00146A","PLA00146A"
"SER00146G","PLA00146G"
"SER00146L","PLA00146L"
"SER00147A","PLA00147A"
"SER00147G","PLA00147G"
"SER00147L","PLA00147L"
"SER00148A","PLA00148A"
"SER00148G","PLA00148G"
"SER00148L","PLA00148L"
"SER00149A","PLA00149A"
"SER00149L","PLA00149L"
"SER00150A","PLA00150A"
"SER00150G","PLA00150G"
"SER00150L","PLA00150L"
"SER00151A","PLA00151A"
"SER00151G","PLA00151G"
"SER00151L","PLA00151L"
"SER00152A","PLA00152A"
"SER00152G","PLA00152G"
"SER00152L","PLA00152L"
"SER00153A","PLA00153A"
"SER00153G","PLA00153G"
"SER00153L","PLA00153L"
"SER00154A","PLA00154A"
"SER00154G","PLA00154G"
"SER00154L","PLA00154L"
"SER00155A","PLA00155A"
"SER00155G","PLA00155G"
"SER00155L","PLA00155L"
"SER00156A","PLA00156A"
"SER00156G","PLA00156G"
"SER00156L","PLA00156L"
"SER00157A","PLA00157A"
"SER00157G","PLA00157G"
"SER00157L","PLA00157L"
"SER00158A","PLA00158A"
"SER00158G","PLA00158G"
"SER00158L","PLA00158L"
"SER00159A","PLA00159A"
"SER00159G","PLA00159G"
"SER00159L","PLA00159L"
"SER00160A","PLA00160A"
"SER00160G","PLA00160G"
"SER00161G","PLA00161G"
"SER00161L","PLA00161L"
"SER00162G","PLA00162G"
"SER00162L","PLA00162L"
"SER00163G","PLA00163G"
"SER00163L","PLA00163L"
"SER00164G","PLA00164G"
"SER00164L","PLA00164L"
"SER00165G","PLA00165G"
"SER00165L","PLA00165L"
"SER00166G","PLA00166G"
"SER00166L","PLA00166L"
"SER00167G","PLA00167G"
"SER00167L","PLA00167L"
"SER00168G","PLA00168G"
"SER00168L","PLA00168L"
"SER00169G","PLA00169G"
"SER00169L","PLA00169L"
"SER00170G","PLA00170G"
"SER00170L","PLA00170L"
"SER00171G","PLA00171G"
"SER00171L","PLA00171L"
"SER00172G","PLA00172G"
"SER00172L","PLA00172L"
"SER00173G","PLA00173G"
"SER00173L","PLA00173L"
"SER00174G","PLA00174G"
"SER00174L","PLA00174L"
"SER00175G","PLA00175G"
"SER00175L","PLA00175L"
"SER00176G","PLA00176G"
"SER00176L","PLA00176L"
"SER00177G","PLA00177G"
"SER00177L","PLA00177L"
"SER00178G","PLA00178G"
"SER00178L","PLA00178L"
"SER00179G","PLA00179G"
"SER00179L","PLA00179L"
"SER00180G","PLA00180G"
"SER00180L","PLA00180L"
"SER00181G","PLA00181G"
"SER00181L","PLA00181L"
"SER00182G","PLA00182G"
"SER00182L","PLA00182L"
"SER00183G","PLA00183G"
"SER00183L","PLA00183L"
"SER00184G","PLA00184G"
"SER00184L","PLA00184L"
"SER00185G","PLA00185G"
"SER00185L","PLA00185L"
"SER00186G","PLA00186G"
"SER00186L","PLA00186L"
"SER00187G","PLA00187G"
"SER00188G","PLA00188G"
"SER00188L","PLA00188L"
"SER00189G","PLA00189G"
"SER00189L","PLA00189L"
"SER00190G","PLA00190G"
"SER00190L","PLA00190L"
"SER00191G","PLA00191G"
"SER00191L","PLA00191L"
"SER00192G","PLA00192G"
"SER00192L","PLA00192L"
"SER00193G","PLA00193G"
"SER00193L","PLA00193L"
"SER00194G","PLA00194G"
"SER00195G","PLA00195G"
"SER00195L","PLA00195L"
"SER00196G","PLA00196G"
"SER00196L","PLA00196L"
"SER00197G","PLA00197G"
"SER00198G","PLA00198G"
"SER00198L","PLA00198L"
"SER00199G","PLA00199G"
"SER00199L","PLA00199L"
"SER00200G","PLA00200G"
"SER00200L","PLA00200L"
"SER00201G","PLA00201G"
"SER00201L","PLA00201L"
"SER00202G","PLA00202G"
"SER00202L","PLA00202L"
"SER00203G","PLA00203G"
"SER00203L","PLA00203L"
"SER00204G","PLA00204G"
"SER00204L","PLA00204L"
"SER00205G","PLA00205G"
"SER00205L","PLA00205L"
"SER00206G","PLA00206G"
"SER00206L","PLA00206L"
"SER00207L","PLA00207L"
"SER00208G","PLA00208G"
"SER00208L","PLA00208L"
"SER00209G","PLA00209G"
"SER00209L","PLA00209L"
"SER00210G","PLA00210G"
"SER00210L","PLA00210L"
"SER00211G","PLA00211G"
"SER00211L","PLA00211L"
"SER00212G","PLA00212G"
"SER00212L","PLA00212L"
"SER00213G","PLA00213G"
"SER00213L","PLA00213L"
"SER00214G","PLA00214G"
"SER00215G","PLA00215G"
"SER00216G","PLA00216G"
"SER00217G","PLA00217G"
"SER00218G","PLA00218G"
"SER00219G","PLA00219G"
"SER00220G","PLA00220G"
"SER00221G","PLA00221G"
"SER00222G","PLA00222G"
"SER00223G","PLA00223G"
"SER00224G","PLA00224G"
"SER00225G","PLA00225G"
"SER00226G","PLA00226G"
"SER00227G","PLA00227G"
"SER00229G","PLA00229G"
"SER00231G","PLA00231G"
"SER00232G","PLA00232G"
"SER00233G","PLA00233G"
"SER00234G","PLA00234G"
"SER00236G","PLA00236G"
"SER00237G","PLA00237G"
"SER00237L","PLA00237L"
