"","RNAID","Run","trimmed","raw"
"756","RNA023575","Run598",25922776,26562342
"757","RNA023576","Run598",24751206,25436585
"758","RNA023577","Run598",21703075,22127006
"759","RNA023578","Run598",21611459,22168238
"760","RNA023579","Run598",23154844,23787003
"761","RNA023580","Run598",21200380,21757075
"762","RNA023581","Run598",25408551,25926216
"763","RNA023582","Run598",20998621,21393166
"764","RNA023583","Run598",19779302,20112668
"765","RNA023585","Run598",20823002,21384733
"766","RNA023586","Run598",21104227,21701888
"767","RNA023587","Run598",28631721,29314105
"768","RNA023588","Run598",25800473,26760542
"769","RNA023590","Run598",21157902,21774819
"770","RNA023591","Run598",19629386,20014908
"771","RNA023592","Run598",24242569,24988304
"772","RNA023593","Run598",24961112,25627324
"773","RNA023594","Run598",21626866,22114691
"774","RNA023595","Run598",30715881,31374352
"775","RNA023596","Run598",22559442,23141674
"776","RNA023597","Run598",28800378,29440367
"777","RNA023598","Run598",28098791,28797561
"778","RNA023599","Run598",25430550,26425512
"779","RNA023601","Run598",25377339,25912063
"780","RNA023602","Run598",25361492,25954943
"781","RNA023603","Run598",25972034,26461518
"782","RNA023605","Run598",23880047,24468723
"783","RNA023606","Run598",21619417,22266434
"784","RNA023607","Run598",21450355,22262177
"785","RNA023608","Run598",22478448,23063360
"786","RNA023609","Run598",28951865,30136268
"787","RNA023610","Run598",20255653,20798642
"788","RNA023611","Run598",22721680,23330762
"789","RNA023613","Run598",28261810,29448181
"790","RNA023614","Run598",26607324,27133274
"791","RNA023615","Run598",22455034,23431079
"792","RNA023617","Run598",24000901,24469918
"793","RNA023618","Run598",27086865,28112660
"794","RNA023619","Run598",24659994,25712397
"795","RNA023620","Run598",23622284,24359498
"796","RNA023621","Run598",26705922,27396205
"797","RNA023622","Run598",24156273,25096823
"798","RNA023623","Run598",21644756,22390422
"799","RNA023624","Run598",22173399,23007896
"800","RNA023625","Run598",28211259,29172420
"801","RNA023626","Run598",21897653,22726034
"802","RNA023629","Run598",17318670,17830362
"803","RNA023630","Run598",24863119,25665147
"804","RNA023631","Run598",26523045,27736130
"805","RNA023632","Run598",26358324,27187224
"806","RNA023633","Run598",23155528,24256618
"807","RNA023634","Run598",21844053,22533986
"808","RNA023635","Run598",22869665,23867861
"809","RNA023636","Run598",25195807,25978170
"810","RNA023637","Run598",25510541,26458359
"811","RNA023638","Run598",25086536,26214420
"812","RNA023639","Run598",23349270,24814845
"813","RNA023640","Run598",22461172,23457031
"814","RNA023641","Run598",29093998,30736343
"815","RNA023642","Run598",24960907,26547340
"816","RNA023643","Run598",23781327,24538058
"817","RNA023644","Run598",25788358,27065470
"818","RNA023645","Run598",28478209,29605460
"819","RNA023646","Run598",27336038,28374751
"820","RNA023647","Run598",17117803,17613150
"821","RNA023654","Run598",25854250,26697356
